sitios,fecha,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
Toma de agua Club de Pesca,2023-05-10,otoño,17.0,15.0,9.05,8.55,Ausencia,Ausencia,Ausencia,Ausencia,100.0,35.0,5.0,5.1,0.17,0.19,0.18,2.0,30.0,25.0,0.1,0.005,1.0,20.6,0.15,40.0,Extremadamente deteriorada
Toma de agua Club de Pesca,2023-11-14,primavera,22.0,22.0,8.28,8.11,Ausencia,Ausencia,Ausencia,Ausencia,900.0,570.0,110.0,6.4,0.44,0.17,0.2,2.0,30.0,32.0,0.1,0.005,0.001,84.8,0.86,38.0,Extremadamente deteriorada
Arroyo El Gato,2023-02-22,Verano,24.4,25.0,2.68,7.82,Ausencia,Ausencia,Ausencia,Ausencia,22000.0,5600.0,2.4,2.7,11.0,0.59,0.17,12.0,90.0,65.0,0.1,0.005,0.001,52.69,5.0,37.5,
Arroyo El Gato,2023-05-10,otoño,17.0,15.0,4.24,7.84,Ausencia,Ausencia,Ausencia,Ausencia,15000.0,6800.0,1200.0,6.2,0.62,0.21,0.2,2.0,30.0,40.0,0.1,0.005,1.0,2.79,0.15,34.0,Extremadamente deteriorada
Arroyo El Gato,2023-11-14,primavera,22.0,22.0,5.48,7.55,Ausencia,Ausencia,Ausencia,Ausencia,100.0,100.0,35.0,6.1,0.52,0.15,0.2,2.0,30.0,17.0,0.1,0.005,0.001,10.0,0.15,45.0,Muy deteriorada
Toma de agua Club de Pesca,2023-08-23,invierno,12.9,13.0,8.57,8.01,Ausencia,Ausencia,Ausencia,Ausencia,400.0,100.0,200.0,10.6,1.2,0.42,0.26,2.7,30.0,28.0,0.1,0.005,0.001,17.5,0.16,40.0,Extremadamente deteriorada
Arroyo El Gato,2023-08-23,invierno,13.8,13.0,5.63,7.96,Ausencia,Ausencia,Ausencia,Ausencia,11000.0,3000.0,2600.0,20.7,3.5,0.75,0.48,4.5,40.0,55.0,0.1,0.005,0.001,18.75,0.19,37.0,Extremadamente deteriorada
Ensenada Prefectura Isla Santiago,2023-02-22,Verano,22.8,25.0,6.13,8.07,Ausencia,Ausencia,Ausencia,Ausencia,12000.0,320.0,100.0,5.6,0.11,0.3,0.12,3.2,40.0,27.0,0.1,0.005,0.001,34.02,5.0,37.5,
Ensenada Prefectura Isla Santiago,2023-05-10,otoño,17.0,15.0,7.43,7.88,Ausencia,Ausencia,Ausencia,Ausencia,200.0,120.0,40.0,11.6,0.23,0.16,0.15,2.0,30.0,27.0,0.1,0.005,1.0,32.49,0.15,39.0,Extremadamente deteriorada
Ensenada Prefectura Isla Santiago,2023-11-14,primavera,21.0,22.0,0.2,7.58,Ausencia,Ausencia,Ausencia,Ausencia,41000.0,38000.0,5600.0,6.5,0.96,0.72,0.2,5.3,30.0,17.0,0.1,0.005,0.001,10.0,2.42,35.0,Extremadamente deteriorada
